Function,Method,Start,Step,Iterations,Final x,Final y,Final f,Time (ms),Converged
CosineBumps,Adam,"(1, 2)",0.001,3542,2.59558,2.59574,-3.6179665461233323,652.202,True
CosineBumps,Gradient Descent,"(1, 2)",0.01,119,2.59573,2.59574,-3.617966683377741,4.42,True
CosineBumps,AdaGrad,"(1, 2)",0.01,22792,2.5918,2.59574,-3.6178848586258585,1839.08,True
CosineBumps,Adam,"(1, 2)",0.01,397,2.59573,2.59574,-3.617966683142468,87.316,True
CosineBumps,Gradient Descent,"(1, 2)",0.1,8,2.59574,2.59574,-3.6179666836429334,0.906,True
CosineBumps,AdaGrad,"(1, 2)",0.1,447,2.5957,2.59574,-3.6179666744192076,96.885,True
CosineBumps,Adam,"(1, 2)",0.1,217,2.59572,2.59573,-3.617966682095952,34.253,True
CosineBumps,Newton,"(1, 2)",0.1,113,1e-05,2.59574,8.191016658126049,30.075,True
CosineBumps,Newton,"(1, 2)",0.5,19,0.0,2.59574,8.191016658180406,12.86,True
CosineBumps,Newton,"(1, 2)",1.0,6,0.0,2.59574,8.191016658178533,1.804,True
CosineBumps,Gradient Descent,"(-3, 4)",0.001,916,-2.59576,2.59581,-3.6179666548649205,80.009,True
CosineBumps,AdaGrad,"(-3, 4)",0.001,100000,-2.61926,3.41968,0.2722949371061052,10003.106,False
CosineBumps,Adam,"(-3, 4)",0.001,4070,-2.59574,2.59593,-3.6179664950672326,286.678,True
CosineBumps,Gradient Descent,"(-3, 4)",0.01,109,-2.59574,2.59575,-3.617966683427932,4.98,True
CosineBumps,AdaGrad,"(-3, 4)",0.01,26789,-2.59574,2.60118,-3.617810412491325,2786.959,True
CosineBumps,Adam,"(-3, 4)",0.01,550,-2.59574,2.59577,-3.6179666794374743,119.87,True
CosineBumps,Gradient Descent,"(-3, 4)",0.1,6,-2.59574,2.59574,-3.61796668364293,0.269,True
CosineBumps,AdaGrad,"(-3, 4)",0.1,595,-2.59574,2.5958,-3.6179666632515524,84.533,True
CosineBumps,Adam,"(-3, 4)",0.1,214,-2.59573,2.59572,-3.6179666813174247,22.649,True
CosineBumps,Newton,"(-3, 4)",0.1,117,-2.59574,2.59575,-3.617966683403658,19.743,True
CosineBumps,Newton,"(-3, 4)",0.5,21,-2.59574,2.59574,-3.6179666836411393,2.002,True
CosineBumps,Newton,"(-3, 4)",1.0,5,-2.59574,2.59574,-3.6179666836429316,2.339,True
